system:index,AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature,.geo
0000000000000000242b_0,701.0,28.14731,0.03586602202329145,10.679963013228209,77.92566000954949,16.888386,60.14893458766759,Point_9259,29.991562276416403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.9243593209479,10.676477151760514]}"
0000000000000000242f_0,630.0,45.98439,0.043129444340995776,20.742389139887194,77.33995022245061,27.590633,28.59725267637087,Point_9263,33.8300496896108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34045438627021,20.74659148674035]}"
00000000000000002430_0,746.0,48.531116,0.04704790918933218,21.12270703558231,84.62285679228378,29.11867,45.20879106449376,Point_9264,31.632451762093467,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.62579134047952,21.12388390607055]}"
00000000000000002431_0,610.0,33.563072,0.03636262415175683,14.218915171729073,77.22200906477246,20.137844,49.34476434484888,Point_9265,29.677007426155967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22367339933467,14.215839371191429]}"
00000000000000002432_0,715.0,30.099072,0.036082618751051496,24.850766273306807,68.03100540000631,18.059443,50.19635602810708,Point_9266,31.56789352099105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.03390804279196,24.851892335166564]}"
00000000000000002433_0,524.0,37.75212,0.042437242663847734,18.76333597498082,83.62359532016025,22.651272,63.53225695749285,Point_9267,30.749588399463278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.61967822226566,18.761314708836206]}"
00000000000000002434_0,238.0,2.6160247,0.01770541663335287,36.855089040383106,74.19042495044252,1.5696149,68.2860701746745,Point_9268,-10.468795389599222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.18736773901068,36.85338453100337]}"
00000000000000002436_0,274.0,9.611231,0.02419031096898492,35.70572814648577,74.82297786774978,5.7667384,57.97742655071065,Point_9270,-0.1883693642085973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.82517159073555,35.70354096733038]}"
00000000000000002439_0,696.0,37.256104,0.035038020556580896,28.26630377093466,85.32441781138326,22.353662,77.90491394416486,Point_9273,7.504193162918114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.32647726209275,28.265490414820746]}"
0000000000000000243a_0,382.0,17.487732,0.025748203165721226,33.24964678583061,68.55577987544673,10.492639,46.70470648947829,Point_9274,14.837502760357324,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.55493090758128,33.25114024168409]}"
0000000000000000243c_0,590.0,57.16058,0.04837092580652909,24.72646419064928,82.41624098178146,34.29635,28.25397578648996,Point_9276,32.86628761821328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.41593574154551,24.72612819538983]}"
0000000000000000243e_0,277.0,26.452,0.036923830866055524,24.519663839526533,72.33036951663614,15.8712,24.93041179487066,Point_9278,33.368020338482324,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.32785510088328,24.51951568004234]}"
0000000000000000243f_0,512.0,40.41011,0.04000878992680442,21.359935988477872,76.82786604884797,24.246067,28.615689180412822,Point_9279,32.889199537701074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.82841467432208,21.357445879941626]}"
00000000000000002441_0,180.0,4.8587036,0.020330561062243787,32.53762233379215,96.18712086705293,2.9152222,59.51945992145483,Point_9281,2.6748135513729494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.18710904709776,32.541471167229666]}"
00000000000000002442_0,735.0,36.022392,0.041485840393631256,23.346376192293476,96.99172186018917,21.613436,59.19436913717582,Point_9282,24.2599711577098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.99559280280533,23.342722657845766]}"
00000000000000002443_0,469.0,60.257465,0.046179309756280366,31.809427841459723,74.675756732704,36.15448,24.809647565267397,Point_9283,31.79775531027053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.67245799243523,31.813835787092856]}"
00000000000000002444_0,422.0,31.681772,0.03245400637788656,31.240410990855118,70.10363465559607,19.009064,31.989359277188594,Point_9284,25.039403666390342,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.10003319626686,31.238914005256362]}"
00000000000000002445_0,660.0,21.123463,0.03467891482162559,9.185939006933287,78.43107958725763,12.674077,69.79702864033791,Point_9285,30.165624369515342,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.42741588005482,9.185273780122108]}"
00000000000000002447_0,555.0,45.410202,0.04916366728655286,25.496883523531217,95.42954369806588,27.24612,54.37594735129684,Point_9287,28.30849071608651,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.43252420843737,25.498679339732618]}"
00000000000000002448_0,195.0,15.140529,0.02741853954400652,34.802881270769674,72.50775925266836,9.084317,51.247337341800346,Point_9288,17.111143710878196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50751815770718,34.805225683210864]}"
0000000000000000244a_0,269.0,7.0074215,0.018951431236560123,34.70357692372308,94.69656404192679,4.204453,54.835236391511856,Point_9290,0.12697894308303148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.69590567545936,34.70641100195771]}"
